ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME,,,,
1024,16,1,0,0,795.669556,,,,
1024,16,1,0,0,1283.977509,,,,
1024,16,1,0,0,1389.537811,,,,
1024,16,1,0,0,1259.113312,,,,
1024,16,1,0,0,1120.147705,,,,
1024,16,1,0,0,893.07785,,,,
1024,16,1,0,0,920.24231,,,,
1024,16,1,0,0,1230.072021,,,,
1024,16,1,0,0,1017.364502,,,,
1024,16,1,0,0,920.089722,,,,
1024,16,1,0,0,923.755646,,,,
1024,16,1,0,0,676.113129,,,,
1024,16,1,0,0,671.646118,,,,
1024,16,1,0,0,664.596558,,,,
-,-,-,-,-,,,,,
2048,16,1,0,0,1570.146561,,,,
2048,16,1,0,0,1602.306366,,,,
2048,16,1,0,0,1604.867935,,,,
2048,16,1,0,0,1473.222733,,,,
2048,16,1,0,0,1823.204041,,,,
2048,16,1,0,0,1596.916199,,,,
2048,16,1,0,0,1610.685349,,,,
2048,16,1,0,0,1558.317184,,,,
2048,16,1,0,0,1617.774963,,,,
2048,16,1,0,0,1595.241547,,,,
2048,16,1,0,0,1511.365891,,,,
2048,16,1,0,0,1597.608566,,,,
2048,16,1,0,0,1571.914673,,,,
2048,16,1,0,0,1566.423416,,,,
2048,16,1,0,0,1574.235916,,,,
2048,16,1,0,0,1474.988937,,,,
-,-,-,-,-,,,,,
4096,16,1,0,0,1399.154663,,,,
4096,16,1,0,0,1704.963684,,,,
4096,16,1,0,0,2081.34079,,,,
4096,16,1,0,0,2045.081139,,,,
4096,16,1,0,0,2032.577515,,,,
4096,16,1,0,0,2040.751457,,,,
4096,16,1,0,0,1770.228386,,,,
4096,16,1,0,0,1994.020462,,,,
4096,16,1,0,0,1919.146538,,,,
4096,16,1,0,0,2005.716324,,,,
4096,16,1,0,0,2052.522659,,,,
4096,16,1,0,0,2010.541916,,,,
4096,16,1,0,0,1899.547577,,,,
4096,16,1,0,0,1867.261887,,,,
4096,16,1,0,0,1980.520248,,,,
4096,16,1,0,0,1849.923134,,,,
-,-,-,-,-,,,,,
